Zeitstempel,Enter your personal code or first name,Which sampling method did you use?,How long do you believe the mind wandering lasted approximately?,"Was your mind wandering social?
(this could mean anything from a conversation to only feeling the ""presence"" of others)","What was the type of interaction? 
(Select all that apply)",Felt Purpose (Select all that apply),Where emotions present in your mind wandering episode?,What was the general valence of your emotions? (Select all that apply),Rate overall intensity of emotions,"Did you feel like you decided to mind wander at some point?
(at the beginning or during the episode)",Did you feel as if you had control over your mind wandering during the episode?,How easily could you have stepped out of mind wandering?,How aware were you about your environment?,"Describe the mood of your mind wandering episode in max. three words. 
(For example joyful, kind, grateful, connected, focused, curious, mindful, relaxed, neutral, empty, playful, disinterested, distracted, restless, tired, anxious, overwhelmed, melancholic...)","Please describe your mind wandering: the context, where have you been, what did you do, and how did it start and end?",Describe what it was about (content) and how you experienced it (how it presented itself to you).,"Your comments: please add here any comments about the episode or the survey that you find relevant. Special cases of MW experience, something that happened, but didn't appear in the questionnaire, anything."
16.12.2022 11:50:06,1698,Purposeful sampling,5 - 10 Minutes,No,,"Active replaying of a memory, Problem solving",Yes,"Positive, Negative",4,No,"Both, it changed over time",5,4,"fluctuating, calm, warm","I was in the shower. The mind wandering started when I was in the shower and it ended when I realized that I was mind wandering and when I was thinking about sampling this episode. I had ballet class before and it didnt go well, so that was quite present in my mind the whole evening. Even before the episode, I was very disappointed and sad about myself because I didnt perform well at ballet but I was also having thoughts that it doesnt matter wheter I performed nicely or not and that I shouldnt be to hard on myself.","I was showering before going to bed, so it felt like I was reconsidering the day, replaying what happened, especially what happened in ballet class. Because I was just about to go to bed after the shower, I felt an urge to kind of ""close"" the day, sort my thoughts about it and an urge to have a calm mind before I go to bed, it felt like some unresolved issue was pounding, which presented itself as a confused and dizzy feeling of unclear emotions and not knowing what I should think throughout my whole body and mind. 
As stated in the context, even before the episode there were ambigious emotions and thoughts present. At the beginning of the episode (or slightly before it) there was this feeling present, a mixture of sadness because I failed and a very negative feeling of failing, which felt like a threat. The threat present itself to me as a kind of falling into a black hole, a feeling of unsecurity or hole in my chest, that is very deterministic and strong but also very diffuse. So the mind wandering started when I felt that feeling of threat, and when feeling that I felt an urge to think about it and handle that feeling by thinking about it. It feels like this threat and the associated feeling in my chest almost automatically triggers this urge. The unsecurity or feeling of falling feels like it triggers the urge to do something with it, to act on it, to gain control of something that appears uncontrollable. In the hours before the episode I was thinking that I dont want to let this drag me down today and I had a very strong motivation of not letting the negative feelings gain power over my mood. So it felt like this realization from earlier came up again and it induced a feeling of ""wait"", it was kind of stopping the dynamics that were ongoing (which went into a certain direction, like negative feelings and self hate that had the dynamics of dragging me down) and to not just let these dynamics happen but to introduce a break in the dynamic and reconsider it. I actually felt this change in dynamics as a feeling in my head, like my mind was stopping and  suddenly listening attentively (better: german ""aufhorchen""), the location of my thinking in my head arose from the blurred background and became prominent in the front and up as a distinctive spot. It felt like this spot wanted to go up to have a better overview of what was ongoing and to widen its perspective as not to stay in the narrow flow of negative emotions . It was like that feeling told me (without actually hearing inner speech) ""wait, this is not the only truth"". So when that feeling came up, my thoughts were moving up (like actually spatially moving in my head), concentrating more on one spot (rather then being spread out) and gaining a brighter colour, a more yellow tone. Automatically inner speech came up, where the felt purpose was to calm myself and give a different perspective. So I heard in inner speech different arguments, or it felt like I more actively produced them, altough not completely consciously, that were telling me like ""it was not actually so bad, it doesnt matter"". In my whole body I felt this strength, motivation and security that I did not want to let the negative feelings gain power and it felt like this feeling of strength was more grounded to my body than the negative thoughts and had a direction of rising, of going up, of taking up space in my mental activity. The negative feelings more came from the left top corner over my head and had a direction of going down. So the strength arising from my body took over the space from bellow and flooded my thoughts and feelings. However it was not strong enough in the first moent to completey outshine the feeling of unsecurity, so after that there was a kind of inner argumentation going on, to figure out which feeling is more justified now. This was a recalling and reiterating my mind wandering from before where I already thought about this issue intensively and I was recalling the sentences (in inner speech) that felt most important, that felt like the conclusions of all the thoughts and new insights that I had before. It was those thoughts and new insights that made most sense to me before, that gave me the most feeling of security in a situation where I did not know how to feel, which presented itself to me as these thoughts that are the brightest in colour, take up most space in my inner field of mind and stand out the most and have most power over the feeling of insecurity in my head, grasp the most. This recalling processing felt like not just letting my thoughts flow but actively ""searching"" these thoughts that gave me a good feeling . In the background the feeling of threat was still present but was overshined by the searching for positive arguments, and it gave me an overall more neutral and calm feeling. When the feeling of threat from the negative emotions was not so strong anymore, the mind wandering felt less deep, having less intensity and less urgency and I came more to an everyday mindset that did not have any specific purpose (like before where there was this strong felt purpose of calming myself and counteracting negative feelings). At this point I also realized that I was mind wandering and I drifted of to think about how to sample this epiosde.",
20.12.2022 17:50:41,1698,Random sampling,> 10 Minutes,Yes,presence ,calming myself/ sorting thoughts ,Yes,Negative,3,No,"Both, it changed over time",3,1,restless,I was laying in bed trying to fall asleep and take a nap. It started when I layed in bed and closed my eyes and it ended when I fell asleep. ,"I was laying in bed in the middle of a stressful day but I had to take a nap because I was too tired. When I closed my eyes, it happened automatically that thoughts are starting to arise. They came from the distance around my head, and they moved towards my face, like trains, not rushing but slowly fading in. It is toughts in inner speech about the things that stress me out most at the moment, especially I was thinking about things I still have to do for university and how much it is and all the situations where I potentially could have done something wrong, like didnt answer my one friend on whatsapp. When the thought comes and hits me, I have a direct somatic reaction to it, I fell my heartbeat rising and I fell pressure and stress in my body. Then I talk to myself in inner speech, and reconsider the situation, to show myself that I didnt do anything wrong or that I will be able to fix this problem if I did something wrong. The voice comes from inside me, its rising from my throat and then spreads out in my head, and the voice is really soft. To make the calming effect of the voice even stronger I direct myself to feel my body, where a feeling of strength and trust arises. When the feeling of stress from one thought gets less and a good feeling spreads out in my body and I start relaxing, the next train of thoughts is arriving from somewhere distance around my head and hitting me with the rising heartbeat.In the beginning the thoughts have more power and seem more urgent, because they induce more stress, feel closer to my body spatially and more real and vivid and as such they also feel like being ""bigger"" in the space they take. They hit me like really and I cannot ignore them even if I would want to. The longer I am in this process of calming myelf, the less power and urgency these thoughts have, and content wise it is moving to some smaller issues and so the effect on my body, when the thought arrives in my head, is also less. Then, topics that came up in the beginning are raised again when they dont feel resolved yet. This process continues until I feel more calm and then my thoughts start to get dizzy mindwandering when I am already half asleep. ",
20.12.2022 18:10:05,1698,Random sampling,< 1 Minute,Yes,"seeing them, feeling them",Handle pounding emotions ,Yes,Negative,5,No,No,5,2,dizzy,I was in online lecture when I mind wandered away for a short time. The beep caught me and made me realize I was mind wandering. This also ended the episode.,"Even before this episode I had this strong feeling because of a personal situation I dont want to talk about here. This led to memories of the last year where I had similar feelings. I saw for a short while images of the head of people that were involved in those feelings and some very blurred vision of the place where the situation took place last year, but also the years before that were present I felt, just the latest instance was dominant in the mental vision. I felt this aversion in me to let this feeling take control of me and I blocked it away, which feels like inducing a strong positive feeling of strength in myself that now fills up my body and thus pushes away the other feeling. It feels like mentally clenching my fist (""meine Faust ballen""). This changes the course of my mind wandering and I start seeing iamges of friends and good situations where that feeling was not present and this was accompanied by a warm and nice feeling in my body. Then I was reconsidering the situation from the beginning with this new feeling when the beep already came.",
25.12.2022 19:26:59,1698,Random sampling,5 - 10 Minutes,Yes,The others were just listening,Imagination of future,Yes,"Positive, Neutral",2,No,"Both, it changed over time",4,2,,"I was laying in bed in the morning, not getting up yet, enjoying the sun that was shining on my bed and chilling; mw was going on the whole time. I was thinking about my future career a lot in these days because I knew I would plan my new semester and next year in the next days. ","Before the beep I was in an episode, imagining to be a psychologist in jail for expressive arts. I was thinking about how I would react to the boys when they are impolite and overall how I would approach them. It was mainly inner speech, and some of it fully formulated, so as if I would actually talk to these people and it also felt like talking to the boys in jail rather than talking to myself, so more pronounced language (phonology and grammar is more sophisticated than inner speech to myself when I am just thinking). Still the scenes were jumping, so it was not one coherent storyline but several short scenes. The inner speech was compared with very blurred images, so almost only shapes, of the boys in jail that I was talking to. In the same very blurred way I saw myself from third perspective, but as opposed to the boys I could see my face, And it was switching between first and third person perspective. I also saw myself gesturing. The way I was talking to them was companied by a   feeling of strength. I was thinking about how I will explain them Art therapy and why it is so important. IN this part of the episode it was less elaborate inner speech and I was more jumping from word to word, innerly reconsidering my psychology knowledge that I would put into it. I felt secure about what I would say to them about this topic, so it was automatically skipped and did not had to be fully formulated. I just felt that I knew it and it felt like all my education was in that feeling. However then I felt this feeling of insecurity, that my points are not strong enough and that boys will not believe them, so I was searching for better words to bring across my point. Here, it was more elaborate inner speech again. There was this strong will to find the right formulation and words to persuade the boys to work with me. I dont know where this urge came from.",
25.12.2022 19:41:56,1698,Random sampling,< 1 Minute,Yes,Observing / Analysing others,completely random ?,No,,,No,I don't know,4,1,random,I was still chlling in bed doing nothing when beep came. I was already mind wandeirng before that episode but I didnt recall what I was mw about. it ended with beep,"I was seeing scenes from a tv show I am watching at the moment, avatar. I was imagining how it must feel to earth bend and how nice that would feel. I saw some short scences from the show and I also heard the voices from the characters. I was seeing an image of a character of the show performing a particular earth bending move and at the same time in my whole body I felt how I would perform that movement and how nice and powerful tat would feel. That feeling of my body accompanying the movement had a very dynamic shape liek a wave that I felt i my chest and arms. Then I was distracted because I wondered what bending means translated to german and I was hearing some syllables of potential german words, like humming them, several after another and waiting for a german word to come up, while repeatig the english word to myself. It is a state of concentration and actively searching for something rather than just letting the words come to me like usually. It was also an interruption of the constant flow that was going on and like I was stuck (like an old record that has a scratch and plays the same part of the song over and over again) thats how it felt.",Is it social mind wandering when the other people are cartoons from a tv show ? :D
26.12.2022 13:42:20,1698,Random sampling,1 - 5 Minutes,No,,Problem solving,Yes,Negative,4,No,"Both, it changed over time",5,4,nervous,"I was sitting in the livingroom, stretching. During stretching I often mindwander a little bit. It started when I tried to focus on stretching and then wandered off. It ended with the beep. ","A few days before I met a boy that I dated when I was a teenager and he wanted to meet again in the following days. I was nervous about that because I didnt want to date him again but rather meet him as friend but I was not sure if he felt the same. So, in the mind wandering epiosde I was arguing with myself what I should text him and wheter I should tell him beforehand that out meeting isnt a date to me. I was formulating in inner speech several versions of the text messages I could sent him, stating that I only want to meet him as a friend. That inner speech was my own voice and had a very friendly intonation (probably because I wanted to write him a very friendly message, because I was afraid that he would be hurt). In the background the whole time there was this feeling of nervousness that he will be hurt because he thinks it is a date. This was an unsteady feeling in my chest, that introduces a feeling of restlessness in my mind. I also saw shortly in the background images of him and how he smiles nicely which gave me this ambivalent feeling because it reminded me that he was a nice person which gives me a good feeling but at the same time this would make it even worse to hurt him so this feeling has an up-down character, it first goes up and then down, it first introduces an open feeling in my heart and then a closed feeling because of the guilty conscience. ",
26.12.2022 14:48:13,1698,Random sampling,1 - 5 Minutes,No,,Being angry ,Yes,Negative,5,No,No,2,2,angry ,"I was at home, we just had finished breakfast and my brother was behaving really annoying and we had a little argument. It started when I got up from the breakfast table and couldnt go into the bathroom because my brother blocked it. So I was just walking around the flat waiting for the bathroom until the beep came","I was really angry at my brother and overall annoyed by being with my family for too long. My mind was filled with that feeling af anger, which almost feel like a blockade of my thougth, they cannot flow freely but that anger takes up all the space. The anger itself is very dynamic, has a strong direction forwards, like a tunnel in front of my face and I cannot leave that tunnel and I cannot leave that dynamic it just pushes my thoughts forward. There is a slight feeling of pressure in my chest as well. In inner speech I talk to myself in an angry voice, just expressing to myself how fucked up I am by my brother and I see short images of him, with his annoyed expression in his face, and it feels like these images stand for all the things that annoy me about my brother. It gave me the urge to flee the flat and go outside, because I had the feeling I could not leave these thoughts as long as I was in the flat with my brother. So I thought about the cafe where I could go, saw an image of the cafe and it gave me a calm feeling to think about going there, and I knew in an unsymbolized way that I would have time there to read and write, these thoughts were like a cloud flying above my head, this image of the cafe, that I was holding in my mind as a relief.",
28.12.2022 13:29:32,1698,Random sampling,1 - 5 Minutes,Yes,Conversation,Planning,Yes,"Positive, Negative",4,No,"Both, it changed over time",4,5,restless,"I had just got up and had prepared myself coffee. While the day before I had ignored everything I had to do because I was still sick, today I felt better and I knew I would have to work. When the beep came I was on our terasse and drinking my coffee, planning my day in my head.","I was standing on the terasse watching the forest and the sky. When I saw that in one part of the forest right all the trees had been cut, I felt surprised and irritated, which felt like a disturbance in my flow of mind. Sadness came up from seeing those cut trees, and it felt like it activated sadness about a much bigger topic, like that nature is dying everywhere and climate change and so on. One quick moment later there was an unwillingness to now think about these sad topics, which I didnt actively produced, but before the episode there had already been this motivation to think positive today. That unwillingness felt like it came up from my chest, but I didnt really recognized it consciously, but my mind quickly switched topic without me infuencing it. The same part of the forest shorlty after, it almost felt parallel, triggered a memory of how I had been on a walk there in this forest with my boyfriend last christmas. I saw a few quick images of my boyfriend in the forest during that walk, some scenes that I remebered well. I felt the atmosphere from that walk, which was relaxed and funny.",
28.12.2022 13:46:22,1698,Random sampling,< 1 Minute,No,,Planning,No,,,No,Yes,5,3,neutral,I was laying in bed in the morning not getting up yet just laying there and mind wandering.,"I was thinking about how to answer a question on my phone by someone about how I got into jazz. So I asked myself how I got into jazz. I was not asking myself that in inner speech, it was an unsymbolized thought, but I felt that my mind got into ""searching mode"", which feels like going up, like if I would look up with my eyes when I would think about a question, but just in my head (probably my gaze moves as well but I wasnt paying attention), so it feels like looking up into the left top corner of my mind and then moving my attention towards that time in my life where I started listening to jazz. It felt like a very active process. It was very hard for me to remember, it was just verry blurred and no image came up, so I instead tried to remember which were the first albums I heard, hoping that they would trigger more memories. While in the foreground in inner speech I was already formulating my answer to the original question, in the background I saw the cover of an old album that I was listening to back then and I also heard pieces of the music in my mind. By formulating the answer, I also realized myself that it must have been those albums that first brought me into jazz. Then the beep came.",
28.12.2022 13:52:47,1698,Purposeful sampling,1 - 5 Minutes,Yes,presence of others,"Planning, Active replaying of a memory",Yes,Positive,4,No,I don't know,5,2,"happy, warm",I was showering and mind wandering. It was mw all the time during the shower so it didnt had a start or end. ,"I was in the shower thinking about my evening plans and that club I wanted to go to. I was thinking who else I could ask to join us, but not really conscious in inner speech, I was more seeing images of old times where I went to that club, the good times I had there. It was very blurred images of the campfire that the club always had in the garden and images of me being very happy there and I felt this atmosphere from these old times. It was a very small club so I always knew a lot of people there and it was always a very homely atmosphere, like when you are surrounded by friends and people you like and that feeling from back then came back up and I felt that feeling quite strongly. So I thought I could ask that one friend of mine if he wants to come, it just came up, an image of his face where he smiled nicely and friendly and I was in inner speech planning how I would text him. Then I was reminded of the last evening I spent with this friend, which was a few days ago, and I saw how we were sitting in the kitchen together with other friends. It had been a really nice evening and I laughed a lot on that evening so that feeling of just pure laughing came up again, a warm and open feeling in my chest, very outgoing, like moving away from my body. I saw an image of myself in that kitchen laughing. I stayed in that memory for a while, it felt like wallowing (“suhlen”) in that memory. It was a cosy and nice feeling in my head that I didn’t wanted to leave but think more about that evening.
",
28.12.2022 15:23:15,1698,Random sampling,< 1 Minute,Yes,presence ,Problem solving,Yes,Negative,3,No,I don't know,4,5,stressed,"I was taking a break from working. I was standig on the terasse watching the view and smoking a cigarette. It was my last day in my hometown and I stil had a lot of things to do and obligations to meet people here, so I felt a bit stressed.","I was just standing there staring at the view when my thoughts drifted off. I still had to answer a friend who wanted to meet me in these days but for whom I didnt have time. It was in my mind the whole day already and I still had to text him back which I didnt so far because I felt guilty for not being able to see him. So, in the episode I drifted to what I would answer him on whatsapp. I was formulating the answer in inner speech, but I think very blurred in the background I also saw it written down in the same typo as whatsapp uses. While doing this the whole time there was this feeling of guilt present, a pressure bellow upper chest right below my throat, like a very light strangeling. It feels like this guilt is narrowing me, constricting me, especially my field of mind. And in that narrow field of mind, where there is not much space to think, it feels like the thoughts are coming out under pressure -as opposed to flowing freely and going wide- they are just dripping in that tinny chamber. Effort is put into formulating the message, unconsciously I have the task in my mind to explain why I dont have time and to make it sound as good as possible.",
30.12.2022 15:19:49,1698,Random sampling,1 - 5 Minutes,Yes,presence,Passive replaying of a memory,Yes,"Positive, Negative",4,No,I don't know,4,4,positive,"I was sitting in the car, my friend was driving and I was looking outside the window and just letting my thoughts flow. It was a very long drive and I was mindwandering for a longer time before the beep came.","I was remembering how I met a friend the day before for coffee and how I was telling him that I’m not fighting with my father anymore because I don’t want to be stressed because of it. I was seeing in the back of my mind very blurred the cafe that we sat at the day before. Then I drifted of to think about the phone call I had with my dad a few days before that during which I decided that I have to let go of the things that make me angry about him and just accept it. In my mind, I was seeing myself during this phone call, how I was walking in the forest and I saw it from 3rd person perspective. I remembered how I sat down at a bench and how the sun was shining (I saw short images of the scene) and I realized in unsymbolized thought that I didnt really enjoyed the sun when I was sitting there because we were fighting at that point. It felt like I tried to enjoy the sun now when I was remembering it in the mind wandeirng episode and I felt innerly how I would turn my face towards the sun and tried to feel it shine on my face and feel the warmth. I also saw other scenes from the walk, where other people passed me in the forest and in the bakcground I was asking myself what does people might have thought because I was walking there crying and I felt a feeling of being judged by the people who saw me. But it only came up very shortly and I thought like fuck it what the people think. It was mainly unsymbolized thought and that feeling of being judged feels like something is coming close to me, like invading my personal space that I feel around myself, I feel how this area that I feel around me gets narrowed when I feel judged. Even though it was a rather sad memory, it didnt feel so sad because I knew that the fight was over now and so the dominant feeling was rather a feeling of relief, like positive and going forward. it felt like I was reconsidering or confirming my decision about my relationship with my dad and by replaying those memories in the mw epsiode, I felt confirmed by myself that I took the right decision because I felt that feeling of relief, a calmness in my body that is settling.",
30.12.2022 15:46:42,1698,Random sampling,< 1 Minute,No,,Imagination of future,No,,,No,Yes,6,7,nice ,I was on a trip with my friends and we sat at a bench with a really nice view on a lake and moutains. We listened to music and I had just talked to my friend about the japanse lyrics from the song which I think inspired my mw. It started when our conversation stoppend and we just sat there. Ended with beep.,"I was imagining how I would listen to the album that we were listening at the moment in Japan. I was just seeing myself from behind but I was standing quite far away, in front of some really big japanese mountains which looked like a made up mix from the actual fuji mountain but not how it exactly looked like but i just made something up how I think it looks like or maybe how I would like it to look. I also thought about the plants that grow there, but more in unsymbolized thought, I just knew that there would be plants that I really like and that I would find them pretty, even though I didnt know what plants, there were only some short blurred images of some japanese plants that I know. In the very back of my mental activity I was thinking in unsymbolized thought about some books from my favorite japanese author and it felt like some part of my mind was in those books in that moment, like how I felt when I red the books, but it werent particular memories of specific scenes from the books but like a summary from all the scenes in the books where I imagined japan to be nice and felt an urge to go there. That was kind of entangled with recalling some asian art that I had looked at a few days ago and I felt that feeling that this kind of art gives me, a feeling of excitement and longing. These images just attract me and just induce that strong urge to have more of that. It almost feels like a little hole in my chest (better german ""ziehen in der brust"") that opens up and wants to be filled with inspiration. Usually this makes me feel restless, but in that moment I was just really calm because somehow I knew during the whole episode that I will go to japan at some point, I felt like I decided this unconsciously at some point during the epsiode. ",
30.12.2022 16:00:41,1698,Random sampling,1 - 5 Minutes,Yes,"Conversation, Activity",Passive replaying of a memory,Yes,Positive,5,No,I don't know,3,2,joyful,"I was lying in bed in the morning, just enjoying the cosyness of the bed and did not feel like getting up yet so I was just lying there absorbing the cosyness an warmth of the blanket and  thinking about nice things. The cosy mood and nice mw was disturbed by the beep then :D","I knew that in the evening I would see this boy that I am dating and I was thinking about our first date. I saw some images of the date, some scenes that popped up in chronological order, scenes that marked like turning points in the date. Like the moment I first saw him and how it was akward, than the moment where the akwardsness changed and I thought that this is actually going good, and then later when I was sure that it was going good. I saw it all from 3rd person perspective, interestingly in the beginning where it was more akward I saw us more from the front and jumping from image to image, which were getting more and more positive, the more I saw us from an angle coming above us, like bird perspective. The images were accompanied by the respective feelings that I actually had during the date, but in a overall more positive  feeling.",
06.01.2023 13:31:17,1698,Random sampling,1 - 5 Minutes,I don't know,,Passive replaying of a memory,Yes,Positive,3,No,No,4,1,positive,I was laying in bed trying to fall asleep.,"Somehow I mindwandered off to that movie I had seen one night before. It as a cute movie that touched me quite deeply and made me feel good. In the episode, I replayed several scenes from the movie and I saw those images quite vividly and colourful. These scenes just came up, I didnt feel like choosing them but they just popped up, it was actually like a movie was playing in my head but not the whole movie but some scenes that somehow stuck to me. I really liked the main character when watching the movie, and I saw many scenes of her, and during the movie I found she was such an elegant and nice personality which in the episode presented itself too me as well: I saw her in a red dress and that red was so bright and she was almost shining and these images felt like they had such a strong influence on me, I admired her and while seeing those scenes I felt very touched and inspired by her personality. ",
06.01.2023 16:45:07,1698,Random sampling,1 - 5 Minutes,No,,Imagination of future,Yes,Positive,2,No,Yes,6,4,sunny,I was sitting in the garden taking a break from studying. I was looking for flats before that. I want a flat that is closer to nature and I think this is why I had this mw.,"I was seeing in my head images of the flat I had just looked at and where I had sent an email to. Then I thought about the location of the flat, because it was a little bit outside the city and I had been to this area before so I saw some blurred images of the nature there and the trees and how I would be there. I felt like how I feel when I am in the nature and the sun shines, calm and relaxed. So while seeing these images it was accompanied by this feeling. In the background, somehow entangled, I was thinking about wheter it would be annoying to life that far apart from the centre and I thought in unsymbolized thought that I will just get my racing bike from home and drive the distance with my racing bike, so I also saw and image and at the same time felt this nice feeling of riding my racing bike.",
16.12.2022 20:15:11,1716,Random sampling,1 - 5 Minutes,Yes,Other,Playing around,No,,,No,Yes,7,4,"easy, simple, pleasant","sitting in a class about Parkinson's disease, started with Parkinson's disease and then moved to Michael J Fox and then to a friend of mine who is obsessed with him","I thought of this friend, how touched I was to get a surprise box of cheez-its from her shortly after I moved to Europe, remembered several conversations we've had, wondered how she is doing",
16.12.2022 20:18:50,1716,Random sampling,1 - 5 Minutes,Yes,Other,"Active replaying of a memory, Problem solving",Yes,Neutral,7,Yes,Yes,7,7,"curious, stuck, thoughtful","I was talking to a therapy client and while we were talking, found myself with my attention divided and part of me was thinking about our interactions","would not like to describe the content as it was during/about a therapy session/client, but it unfolded itself as a series of mental images of different conversations we've had and imagining different ways that it could possibly go. As I said, part of me was listening to the client and part of me was I guess sort of mulling over our relationship to get more information about what was going on in the actual conversation",
16.12.2022 20:23:56,1716,Purposeful sampling,> 10 Minutes,No,,Playing around,No,,,No,Yes,7,7,"interested, absorbed, content","I was in my bed with my partner, after my day had finished and dinner was done, watching ""I'm thinking of ending things"" ","while I was watching the movie, I was experiencing scenes in my mind's eye of other Charlie Kaufman movies.  My attention was divided, I was definitely paying attention to and engrossed in the movie but also remembering scenes from several others.  Somehow the whole thing all ended up together on my mind/perception, I suppose like faces on a Zoom screen.  The movie was front and center and the memories and associations were in the back of my. mind in a murky, dimmed inset.",
16.12.2022 20:27:57,1716,Random sampling,< 1 Minute,I don't know,,associations with what was in front of me,Yes,Positive,5,No,Yes,7,7,"melancholic, happy, eager","I was in a pet store, getting chews to bring back for my dog","I was standing in front of a jar of very smelly smoked dog chews, ready to pick some out, and thinking very vividly of my dog.  I was imaging how excited he would be to have it, where in the house he would settle in to chew it, how he would push it with his face until it was covered by a blanket.  This was very vivid, more than a mental image, also the smell of the chews that was in front of me played a part in how clear the image was.  I also had a huge feeling of missing him and impatience about going home.  ",
16.12.2022 20:34:37,1716,Purposeful sampling,< 1 Minute,Yes,Other,"Planning, Passive replaying of a memory",Yes,Positive,5,No,Yes,7,5,"surprised, delighted, eager","Mercator in the medical faculty, standing in front of a chocolate display","I was standing in front of a chocolate display in Mercator, and I recognized the brand of chocolate as the one sold with magic truffles during my most recent trip to Amsterdam.  II felt extremely surprised (like a tiny fizz of surprise near my sternum) and I thought of how much I would like to surprise my husband with one, and made a mental note to come back and get one to give him for Christmas, thinking that he would be as surprised and delighted as I was.",
16.12.2022 17:55:42,1978,Random sampling,1 - 5 Minutes,Yes,Conversation,I would say maybe considering of the future,Yes,Negative,3,No,No,1,5,"The first relaxed, but then anxious and uneasy","I was driving by the bus looking around the city. It was very early in the morning so the lights were very bright and kind off connected to each other in one line. I think, that is what triggered my mind-wandering. The lights and association for Christmas, as I started to think about it more. The end of the mind wandering came with the interruption of my timer on my phone for sampling.","As I was seeing the lights and thought about christmas. It was as if I was imagining all the gifts I got for my family - curling iron for mom, shampoos for dad, some nice wine. It did not obscure my vision though, I was still seing the lights clearly. It looked as if I was seeing the pictures or photos of the products but they were translucent. Then I though about the reactions of my family - this time I heard their voices, they were very real, as if they would be sitting next to me, but talked quite loudly. The images were not there, I was seeing the light - but mostly just the line. There started to be a bland of voices - my father, mother and brother, but my brothers voice was sticking out, sounding kind off dissapointed. The more he talked the more I couldn’t heart the other voices. I could not tell you what the voice sounding like my brother was saying, but I knew his voice sounded sad and dissapointed. I didn’t see the voice or see any particular things that would remind me of it. This voice was not coming from next to me, but from “my head” specifically back of my head. I felt my anxiety rise and felt very uncomfortable, almost similar to a feeling when I would want to start crying but can’t. I would say I almost felt cold. There was also some other feeling, but I couldn’t place it as my sampling alarm would sound. I am not sure how the mindwandering ended, sunddenly the alarm overwhelmed everything - I just remember thinking that the lights are “clearer” in shapes and I could see my surrounding being sharper.",
16.12.2022 17:59:08,1978,Purposeful sampling,< 1 Minute,No,,"Planning, Problem solving",No,,,No,I don't know,6,6,"Relaxed, thoughtfull","I was in my room and there was a conversation going with my roomates (so all together 4 of us). We were talking about our Dorm keeper and his non-reliability, as we asked him many times to fix our stove. I was lying on the bed on my stomach and someone said that no one can even boil a water there. That point is where I think I started mind-wandering. The end of the mind-wandering was I think due to my roomates, who caught my interest/focus. I couldn’t pinpoint specifically what it was, but I think it was the movement of standing up of one of them.","My mind-wandering started when I was thinking about how I was missing my cattle from home. I could see it in front of me, as if you would show me a picture of it. It was a cattle from my parents home - the cattel itself was very sharp, but the rest of the background (my vision) was a bit blurry and smokey, I would say. I felt a bit sad, looking at the cattle. While I was “looking” at the cattle a voice in my head sounded - “maybe I should buy one here”. Then an answer came - “what would you do with it when you leave”. Both voices sounded like mine and were sounding very simillar. I honetly don’t remember specifics, but one was argumenting for a me to buy a cattle and the other was very skeptical and against it. I was also vaguelly aware that the conversation around me was still going, but I could not pinpoint specific voices - I just knew that there was a sound and that sound was conversation. Although both of those voices did not sound really emotional in particural. At one point (I have no idea when, I am sorry) I stopped seeing the cattle and just heard the voices. They sounded as if they came from the “back of my head”. I was seeing just a blurry image of the “world” - as if you had tears in your eyes - you could see the world, but it would be quite blurry. At some point one of my roomates stood up - and the schift of red (he wore red hoodie) caught my attention. It was very quick, like the sheet of water would fall in front of my eyes and it was gone.",
16.12.2022 18:01:41,1978,Purposeful sampling,1 - 5 Minutes,Yes,Activity,"Passive replaying of a memory, Active replaying of a memory, Playing around",Yes,Positive,6,Yes,"Both, it changed over time",5,1,"Happy, lovely, warm","I was in the shower - washing and massaging my head as my head has been hurting a bit today. I was making a plan of what do to in the rest of the evening. As I was scrubbing my head I was thinking about getting a tea when I got out of shower I think that is when I started to mind wander. Again, I am not certain when the mind wandering ended, I have a feeling because the water felt too cold for me at one point and that kind of forced me out of it.","When I thought about making the tea I was thinking to myself - “Well, when I get home I am so excited for my boyfriend to take care of me”. Then I started to imagine that he would make and bring me a tea - it was as if a movie or a video would be played right in front of me and I was third person spectator. I was seeing a slowly moving video of him making the tea, pouring the hot water and putting the bag in. The whole “picture” just felt very homely and warm to me. I think I enjoyed the “movie”. There was o moment of when I could stop mind-wandering, I think I would describe it as a pauze of the moving picture. And I had this feeling that I would really enjoy if I continued - and I remember thinking, like my voice would say: “what else is there?”. Then there were more pictures/movies - altough not as slow, some of them were memories and some of them were just familiar. This time there was less of background, it was mostly just my boyfriend laughing, or reaching for my hand (I could not see my hand, just him with outstreched hand) and some other which I cannot recall. It felt very relaxed, I loved seeing the pictures. I don’t know if I was thinking in verbel sense, but I just did not want it to end. The thing I think ended my mind-wandering was the goosebumbs from the cold water. The images turned at first more misty and unclear and then dissapeared very very quickly, like in snap of fingers. I remember I felt very dissapointed that the mind-wandering ended.",
